"1","qa OR sqa OR quality OR testing OR tester","United States","7","11496","2022-03-28","17:39:14","MONDAY"
"2","qa OR sqa OR quality OR testing OR tester","United States","1","1725","2022-03-28","17:39:32","MONDAY"
"3","qa OR sqa OR quality OR testing OR tester","California, USA","7","1557","2022-03-28","17:39:50","MONDAY"
"4","qa OR sqa OR quality OR testing OR tester","California, USA","1","199","2022-03-28","17:40:09","MONDAY"
"5","qa OR sqa OR quality OR testing OR tester","New York, NY, USA","7","2791","2022-03-28","17:40:28","MONDAY"
"6","qa OR sqa OR quality OR testing OR tester","New York, NY, USA","1","693","2022-03-28","17:40:46","MONDAY"
"7","qa OR sqa OR quality OR testing OR tester","Mountain View, CA, USA","7","2574","2022-03-28","17:41:04","MONDAY"
"8","qa OR sqa OR quality OR testing OR tester","Mountain View, CA, USA","1","650","2022-03-28","17:41:24","MONDAY"
"9","qa OR sqa OR quality OR testing OR tester","Remote Only","1","561","2022-03-28","17:41:42","MONDAY"
"10","qa OR sqa OR quality OR testing OR tester","Remote Only","7","2137","2022-03-28","17:41:42","MONDAY"
"30","qa OR sqa OR quality OR testing OR tester","United States","1","1700","2022-03-29","15:54:09","TUESDAY"
"31","qa OR sqa OR quality OR testing OR tester","United States","7","11063","2022-03-29","15:54:26","TUESDAY"
"32","qa OR sqa OR quality OR testing OR tester","California, USA","1","244","2022-03-29","15:54:45","TUESDAY"
"33","qa OR sqa OR quality OR testing OR tester","California, USA","7","1550","2022-03-29","15:55:03","TUESDAY"
"34","qa OR sqa OR quality OR testing OR tester","New York, NY, USA","1","788","2022-03-29","15:55:23","TUESDAY"
"35","qa OR sqa OR quality OR testing OR tester","New York, NY, USA","7","2843","2022-03-29","15:55:44","TUESDAY"
"36","qa OR sqa OR quality OR testing OR tester","Mountain View, CA, USA","1","725","2022-03-29","15:56:05","TUESDAY"
"37","qa OR sqa OR quality OR testing OR tester","Mountain View, CA, USA","7","2591","2022-03-29","15:56:23","TUESDAY"
"38","qa OR sqa OR quality OR testing OR tester","Remote Only","1","633","2022-03-29","15:56:45","TUESDAY"
"39","qa OR sqa OR quality OR testing OR tester","Remote Only","7","2246","2022-03-29","15:57:07","TUESDAY"
"40","qa OR sqa OR quality OR testing OR tester","Remote Only","1","594","2022-03-29","16:15:21","TUESDAY"
"41","qa OR sqa OR quality OR testing OR tester","Remote Only","7","2222","2022-03-29","16:15:40","TUESDAY"
