"1","qa OR sqa OR quality OR testing OR tester","United States","1"
"2","qa OR sqa OR quality OR testing OR tester","United States","7"
"3","qa OR sqa OR quality OR testing OR tester","California, USA","1"
"4","qa OR sqa OR quality OR testing OR tester","California, USA","7"
"5","qa OR sqa OR quality OR testing OR tester","New York, NY, USA","1"
"6","qa OR sqa OR quality OR testing OR tester","New York, NY, USA","7"
"7","qa OR sqa OR quality OR testing OR tester","Mountain View, CA, USA","1"
"8","qa OR sqa OR quality OR testing OR tester","Mountain View, CA, USA","7"
"9","qa OR sqa OR quality OR testing OR tester","Remote Only","1"
"10","qa OR sqa OR quality OR testing OR tester","Remote Only","7"
